T(Seconds)	E(V)	I(A/cm2)	Temp(C)
6.40200000000E+01	-6.992950E-01	-5.589371E-01	2.153750E+01
6.40400000000E+01	-6.987305E-01	-3.300705E-01	2.153750E+01
6.40600000000E+01	-6.976624E-01	-3.091125E-01	2.153750E+01
6.40800000000E+01	-6.967773E-01	-3.022690E-01	2.153750E+01
6.41000000000E+01	-6.957245E-01	-2.971115E-01	2.153750E+01
6.41200000000E+01	-6.947021E-01	-2.930450E-01	2.153750E+01
6.41400000000E+01	-6.937103E-01	-2.893982E-01	2.153750E+01
6.41600000000E+01	-6.927338E-01	-2.863464E-01	2.153750E+01
6.41800000000E+01	-6.916962E-01	-2.835388E-01	2.153750E+01
6.42000000000E+01	-6.907654E-01	-2.808380E-01	2.153750E+01
6.42200000000E+01	-6.896973E-01	-2.783813E-01	2.153750E+01
6.42400000000E+01	-6.886749E-01	-2.758713E-01	2.153750E+01
6.42600000000E+01	-6.877136E-01	-2.734985E-01	2.153750E+01
6.42800000000E+01	-6.866455E-01	-2.713318E-01	2.153750E+01
6.43000000000E+01	-6.856689E-01	-2.691193E-01	2.153750E+01
6.43200000000E+01	-6.847076E-01	-2.669144E-01	2.153750E+01
6.43400000000E+01	-6.836548E-01	-2.649689E-01	2.153750E+01
6.43600000000E+01	-6.826019E-01	-2.629395E-01	2.153750E+01
6.43800000000E+01	-6.816711E-01	-2.609406E-01	2.153750E+01
6.44000000000E+01	-6.806641E-01	-2.590256E-01	2.153750E+01
6.44200000000E+01	-6.797180E-01	-2.572098E-01	2.153750E+01
6.44400000000E+01	-6.786652E-01	-2.554550E-01	2.153750E+01
6.44600000000E+01	-6.776428E-01	-2.536545E-01	2.153750E+01
6.44800000000E+01	-6.766663E-01	-2.519302E-01	2.153750E+01
6.45000000000E+01	-6.756897E-01	-2.502441E-01	2.153750E+01
6.45200000000E+01	-6.746216E-01	-2.485542E-01	2.153750E+01
6.45400000000E+01	-6.736298E-01	-2.468834E-01	2.153750E+01
6.45600000000E+01	-6.726837E-01	-2.453461E-01	2.153750E+01
6.45800000000E+01	-6.716309E-01	-2.437668E-01	2.153750E+01
6.46000000000E+01	-6.707153E-01	-2.422485E-01	2.153750E+01
6.46200000000E+01	-6.696320E-01	-2.408104E-01	2.153750E+01
6.46400000000E+01	-6.686249E-01	-2.392731E-01	2.153750E+01
6.46600000000E+01	-6.676025E-01	-2.378006E-01	2.153750E+01
6.46800000000E+01	-6.666260E-01	-2.363510E-01	2.153750E+01
6.47000000000E+01	-6.656494E-01	-2.349510E-01	2.153750E+01
6.47200000000E+01	-6.645813E-01	-2.335587E-01	2.153750E+01
6.47400000000E+01	-6.636658E-01	-2.321434E-01	2.153750E+01
6.47600000000E+01	-6.626282E-01	-2.307968E-01	2.153750E+01
6.47800000000E+01	-6.616669E-01	-2.293205E-01	2.153750E+01
6.48000000000E+01	-6.606140E-01	-2.280502E-01	2.153750E+01
6.48200000000E+01	-6.595917E-01	-2.266998E-01	2.153750E+01
6.48400000000E+01	-6.586456E-01	-2.253036E-01	2.153750E+01
6.48600000000E+01	-6.576233E-01	-2.240219E-01	2.153750E+01
6.48800000000E+01	-6.566315E-01	-2.227898E-01	2.153750E+01
6.49000000000E+01	-6.556244E-01	-2.214813E-01	2.153750E+01
6.49200000000E+01	-6.545715E-01	-2.201996E-01	2.153750E+01
6.49400000000E+01	-6.535950E-01	-2.188225E-01	2.153750E+01
6.49600000000E+01	-6.526642E-01	-2.175064E-01	2.153750E+01
6.49800000000E+01	-6.515656E-01	-2.162971E-01	2.153750E+01
6.50000000000E+01	-6.506805E-01	-2.150383E-01	2.153750E+01
6.50200000000E+01	-6.496429E-01	-2.138100E-01	2.153750E+01
6.50400000000E+01	-6.486359E-01	-2.124748E-01	2.153750E+01
6.50600000000E+01	-6.476288E-01	-2.113075E-01	2.153750E+01
6.50800000000E+01	-6.466064E-01	-2.100906E-01	2.153750E+01
6.51000000000E+01	-6.456299E-01	-2.088280E-01	2.153750E+01
6.51200000000E+01	-6.446991E-01	-2.075615E-01	2.153750E+01
6.51400000000E+01	-6.436615E-01	-2.063255E-01	2.153750E+01
6.51600000000E+01	-6.426086E-01	-2.051239E-01	2.153750E+01
6.51800000000E+01	-6.415863E-01	-2.039223E-01	2.153750E+01
6.52000000000E+01	-6.407166E-01	-2.026863E-01	2.153750E+01
6.52200000000E+01	-6.396790E-01	-2.015038E-01	2.153750E+01
6.52400000000E+01	-6.387482E-01	-2.002182E-01	2.153750E+01
6.52600000000E+01	-6.377716E-01	-1.990814E-01	2.153750E+01
6.52800000000E+01	-6.366577E-01	-1.978493E-01	2.153750E+01
6.53000000000E+01	-6.356812E-01	-1.967049E-01	2.153750E+01
6.53200000000E+01	-6.347046E-01	-1.954994E-01	2.153750E+01
6.53400000000E+01	-6.337433E-01	-1.943130E-01	2.153750E+01
6.53600000000E+01	-6.327667E-01	-1.932259E-01	2.153750E+01
6.53800000000E+01	-6.317444E-01	-1.920204E-01	2.153750E+01
6.54000000000E+01	-6.306610E-01	-1.908875E-01	2.153750E+01
6.54200000000E+01	-6.297150E-01	-1.897316E-01	2.153750E+01
6.54400000000E+01	-6.287231E-01	-1.885033E-01	2.153750E+01
6.54600000000E+01	-6.277618E-01	-1.873894E-01	2.153750E+01
6.54800000000E+01	-6.267242E-01	-1.861420E-01	2.153750E+01
6.55000000000E+01	-6.256409E-01	-1.850052E-01	2.153750E+01
6.55200000000E+01	-6.246948E-01	-1.838036E-01	2.153750E+01
6.55400000000E+01	-6.236572E-01	-1.826401E-01	2.153750E+01
6.55600000000E+01	-6.227112E-01	-1.814499E-01	2.153750E+01
6.55800000000E+01	-6.216736E-01	-1.802979E-01	2.153750E+01
6.56000000000E+01	-6.206055E-01	-1.791649E-01	2.153750E+01
6.56200000000E+01	-6.196442E-01	-1.781006E-01	2.153750E+01
6.56400000000E+01	-6.186981E-01	-1.768951E-01	2.153750E+01
6.56600000000E+01	-6.176910E-01	-1.758461E-01	2.153750E+01
6.56800000000E+01	-6.166687E-01	-1.747627E-01	2.153750E+01
6.57000000000E+01	-6.156464E-01	-1.735954E-01	2.153750E+01
6.57200000000E+01	-6.147003E-01	-1.724434E-01	2.153750E+01
6.57400000000E+01	-6.136322E-01	-1.712990E-01	2.153750E+01
6.57600000000E+01	-6.125946E-01	-1.701775E-01	2.153750E+01
6.57800000000E+01	-6.115875E-01	-1.690750E-01	2.153750E+01
6.58000000000E+01	-6.106262E-01	-1.679077E-01	2.153750E+01
6.58200000000E+01	-6.096191E-01	-1.667175E-01	2.160000E+01
6.58400000000E+01	-6.086731E-01	-1.656685E-01	2.160000E+01
6.58600000000E+01	-6.076660E-01	-1.646004E-01	2.160000E+01
6.58800000000E+01	-6.066589E-01	-1.634636E-01	2.160000E+01
6.59000000000E+01	-6.056671E-01	-1.622543E-01	2.160000E+01
6.59200000000E+01	-6.045837E-01	-1.611786E-01	2.160000E+01
6.59400000000E+01	-6.037140E-01	-1.600876E-01	2.160000E+01
6.59600000000E+01	-6.026764E-01	-1.589775E-01	2.160000E+01
6.59800000000E+01	-6.016388E-01	-1.579399E-01	2.160000E+01
6.60000000000E+01	-6.006775E-01	-1.568222E-01	2.160000E+01
6.60200000000E+01	-5.996704E-01	-1.557808E-01	2.160000E+01
6.60400000000E+01	-5.986786E-01	-1.547127E-01	2.160000E+01
6.60600000000E+01	-5.976410E-01	-1.536179E-01	2.160000E+01
6.60800000000E+01	-5.966492E-01	-1.524620E-01	2.160000E+01
6.61000000000E+01	-5.957184E-01	-1.514893E-01	2.160000E+01
6.61200000000E+01	-5.946198E-01	-1.504173E-01	2.160000E+01
6.61400000000E+01	-5.937195E-01	-1.493111E-01	2.160000E+01
6.61600000000E+01	-5.926056E-01	-1.483383E-01	2.160000E+01
6.61800000000E+01	-5.916138E-01	-1.473122E-01	2.160000E+01
6.62000000000E+01	-5.905914E-01	-1.461906E-01	2.160000E+01
6.62200000000E+01	-5.896149E-01	-1.451149E-01	2.160000E+01
6.62400000000E+01	-5.886536E-01	-1.440926E-01	2.160000E+01
6.62600000000E+01	-5.876007E-01	-1.430016E-01	2.160000E+01
6.62800000000E+01	-5.866547E-01	-1.419449E-01	2.160000E+01
6.63000000000E+01	-5.856476E-01	-1.409149E-01	2.160000E+01
6.63200000000E+01	-5.846710E-01	-1.399460E-01	2.160000E+01
6.63400000000E+01	-5.836182E-01	-1.388588E-01	2.160000E+01
6.63600000000E+01	-5.826416E-01	-1.379471E-01	2.160000E+01
6.63800000000E+01	-5.816803E-01	-1.368294E-01	2.160000E+01
6.64000000000E+01	-5.806885E-01	-1.357956E-01	2.160000E+01
6.64200000000E+01	-5.796967E-01	-1.347504E-01	2.160000E+01
6.64400000000E+01	-5.786591E-01	-1.337242E-01	2.160000E+01
6.64600000000E+01	-5.776520E-01	-1.327209E-01	2.160000E+01
6.64800000000E+01	-5.766449E-01	-1.317101E-01	2.160000E+01
6.65000000000E+01	-5.756226E-01	-1.306343E-01	2.160000E+01
6.65200000000E+01	-5.746155E-01	-1.295853E-01	2.160000E+01
6.65400000000E+01	-5.736237E-01	-1.285706E-01	2.160000E+01
6.65600000000E+01	-5.726166E-01	-1.275558E-01	2.160000E+01
6.65800000000E+01	-5.715942E-01	-1.265259E-01	2.160000E+01
6.66000000000E+01	-5.706329E-01	-1.255417E-01	2.160000E+01
6.66200000000E+01	-5.695801E-01	-1.245461E-01	2.160000E+01
6.66400000000E+01	-5.685883E-01	-1.235523E-01	2.160000E+01
6.66600000000E+01	-5.675964E-01	-1.226139E-01	2.160000E+01
6.66800000000E+01	-5.666351E-01	-1.216278E-01	2.160000E+01
6.67000000000E+01	-5.657043E-01	-1.205807E-01	2.160000E+01
6.67200000000E+01	-5.646057E-01	-1.195755E-01	2.160000E+01
6.67400000000E+01	-5.636292E-01	-1.186886E-01	2.160000E+01
6.67600000000E+01	-5.626068E-01	-1.176853E-01	2.160000E+01
6.67800000000E+01	-5.616302E-01	-1.167126E-01	2.160000E+01
6.68000000000E+01	-5.605621E-01	-1.157055E-01	2.160000E+01
6.68200000000E+01	-5.595703E-01	-1.146889E-01	2.160000E+01
6.68400000000E+01	-5.585938E-01	-1.137333E-01	2.160000E+01
6.68600000000E+01	-5.576324E-01	-1.127224E-01	2.160000E+01
6.68800000000E+01	-5.566101E-01	-1.118279E-01	2.160000E+01
6.69000000000E+01	-5.556488E-01	-1.108570E-01	2.160000E+01
6.69200000000E+01	-5.546570E-01	-1.098633E-01	2.160000E+01
6.69400000000E+01	-5.536957E-01	-1.089153E-01	2.160000E+01
6.69600000000E+01	-5.527191E-01	-1.079922E-01	2.160000E+01
6.69800000000E+01	-5.516968E-01	-1.070004E-01	2.160000E+01
6.70000000000E+01	-5.507202E-01	-1.060543E-01	2.160000E+01
6.70200000000E+01	-5.497131E-01	-1.051750E-01	2.160000E+01
6.70400000000E+01	-5.486145E-01	-1.041698E-01	2.160000E+01
6.70600000000E+01	-5.476990E-01	-1.032677E-01	2.160000E+01
6.70800000000E+01	-5.466919E-01	-1.023026E-01	2.160000E+01
6.71000000000E+01	-5.456238E-01	-1.013641E-01	2.160000E+01
6.71200000000E+01	-5.446472E-01	-1.003742E-01	2.160000E+01
6.71400000000E+01	-5.436249E-01	-9.949303E-02	2.160000E+01
6.71600000000E+01	-5.425262E-01	-9.852982E-02	2.160000E+01
6.71800000000E+01	-5.415802E-01	-9.751701E-02	2.160000E+01
6.72000000000E+01	-5.405884E-01	-9.656906E-02	2.160000E+01
6.72200000000E+01	-5.395966E-01	-9.571266E-02	2.160000E+01
6.72400000000E+01	-5.386200E-01	-9.478378E-02	2.160000E+01
6.72600000000E+01	-5.375824E-01	-9.386635E-02	2.160000E+01
6.72800000000E+01	-5.366364E-01	-9.301758E-02	2.160000E+01
6.73000000000E+01	-5.356140E-01	-9.205627E-02	2.160000E+01
6.73200000000E+01	-5.346222E-01	-9.116745E-02	2.160000E+01
6.73400000000E+01	-5.335693E-01	-9.021759E-02	2.160000E+01
6.73600000000E+01	-5.325775E-01	-8.934784E-02	2.160000E+01
6.73800000000E+01	-5.315857E-01	-8.846474E-02	2.160000E+01
6.74000000000E+01	-5.306244E-01	-8.765793E-02	2.160000E+01
6.74200000000E+01	-5.296478E-01	-8.670425E-02	2.160000E+01
6.74400000000E+01	-5.287018E-01	-8.581734E-02	2.160000E+01
6.74600000000E+01	-5.277405E-01	-8.502579E-02	2.160000E+01
6.74800000000E+01	-5.267792E-01	-8.412361E-02	2.160000E+01
6.75000000000E+01	-5.256958E-01	-8.320808E-02	2.160000E+01
6.75200000000E+01	-5.246735E-01	-8.232689E-02	2.160000E+01
6.75400000000E+01	-5.236664E-01	-8.152580E-02	2.160000E+01
6.75600000000E+01	-5.226898E-01	-8.067703E-02	2.160000E+01
6.75800000000E+01	-5.216370E-01	-7.984161E-02	2.160000E+01
6.76000000000E+01	-5.207062E-01	-7.901764E-02	2.160000E+01
6.76200000000E+01	-5.197296E-01	-7.819176E-02	2.160000E+01
6.76400000000E+01	-5.186615E-01	-7.729721E-02	2.160000E+01
6.76600000000E+01	-5.177460E-01	-7.647133E-02	2.160000E+01
6.76800000000E+01	-5.167542E-01	-7.561302E-02	2.160000E+01
6.77000000000E+01	-5.156403E-01	-7.476997E-02	2.160000E+01
6.77200000000E+01	-5.146790E-01	-7.394409E-02	2.160000E+01
6.77400000000E+01	-5.137024E-01	-7.306862E-02	2.160000E+01
6.77600000000E+01	-5.126801E-01	-7.223701E-02	2.160000E+01
6.77800000000E+01	-5.116119E-01	-7.136917E-02	2.160000E+01
6.78000000000E+01	-5.106201E-01	-7.054520E-02	2.160000E+01
6.78200000000E+01	-5.096436E-01	-6.969643E-02	2.166250E+01
6.78400000000E+01	-5.086517E-01	-6.880379E-02	2.166250E+01
6.78600000000E+01	-5.076752E-01	-6.805229E-02	2.166250E+01
6.78800000000E+01	-5.066528E-01	-6.722069E-02	2.166250E+01
6.79000000000E+01	-5.056915E-01	-6.645584E-02	2.166250E+01
6.79200000000E+01	-5.046997E-01	-6.561852E-02	2.166250E+01
6.79400000000E+01	-5.036469E-01	-6.490707E-02	2.166250E+01
6.79600000000E+01	-5.027008E-01	-6.405258E-02	2.166250E+01
6.79800000000E+01	-5.016785E-01	-6.328964E-02	2.166250E+01
6.80000000000E+01	-5.006256E-01	-6.243992E-02	2.166250E+01
6.80200000000E+01	-4.997101E-01	-6.165504E-02	2.166250E+01
6.80400000000E+01	-4.987411E-01	-6.083584E-02	2.166250E+01
6.80600000000E+01	-4.977264E-01	-5.998898E-02	2.166250E+01
6.80800000000E+01	-4.967117E-01	-5.933952E-02	2.166250E+01
6.81000000000E+01	-4.957275E-01	-5.850697E-02	2.166250E+01
6.81200000000E+01	-4.946060E-01	-5.771446E-02	2.166250E+01
6.81400000000E+01	-4.936295E-01	-5.701160E-02	2.166250E+01
6.81600000000E+01	-4.925842E-01	-5.625916E-02	2.166250E+01
6.81800000000E+01	-4.916763E-01	-5.557632E-02	2.166250E+01
6.82000000000E+01	-4.906921E-01	-5.494499E-02	2.166250E+01
6.82200000000E+01	-4.896927E-01	-5.422115E-02	2.166250E+01
6.82400000000E+01	-4.886703E-01	-5.351734E-02	2.166250E+01
6.82600000000E+01	-4.877090E-01	-5.273533E-02	2.166250E+01
6.82800000000E+01	-4.866714E-01	-5.204105E-02	2.166250E+01
6.83000000000E+01	-4.857101E-01	-5.134583E-02	2.166250E+01
6.83200000000E+01	-4.846649E-01	-5.058861E-02	2.166250E+01
6.83400000000E+01	-4.836731E-01	-4.997444E-02	2.166250E+01
6.83600000000E+01	-4.826355E-01	-4.914665E-02	2.166250E+01
6.83800000000E+01	-4.816284E-01	-4.841995E-02	2.166250E+01
6.84000000000E+01	-4.806366E-01	-4.773426E-02	2.166250E+01
6.84200000000E+01	-4.795914E-01	-4.705238E-02	2.166250E+01
6.84400000000E+01	-4.785461E-01	-4.632759E-02	2.166250E+01
6.84600000000E+01	-4.775467E-01	-4.566383E-02	2.166250E+01
6.84800000000E+01	-4.766541E-01	-4.495144E-02	2.166250E+01
6.85000000000E+01	-4.756317E-01	-4.430580E-02	2.166250E+01
6.85200000000E+01	-4.746323E-01	-4.367352E-02	2.166250E+01
6.85400000000E+01	-4.736557E-01	-4.297543E-02	2.166250E+01
6.85600000000E+01	-4.726639E-01	-4.238987E-02	2.166250E+01
6.85800000000E+01	-4.716492E-01	-4.164505E-02	2.166250E+01
6.86000000000E+01	-4.706650E-01	-4.111767E-02	2.166250E+01
6.86200000000E+01	-4.696503E-01	-4.045296E-02	2.166250E+01
6.86400000000E+01	-4.686127E-01	-3.972626E-02	2.166250E+01
6.86600000000E+01	-4.676361E-01	-3.903008E-02	2.166250E+01
6.86800000000E+01	-4.666290E-01	-3.846836E-02	2.166250E+01
6.87000000000E+01	-4.656296E-01	-3.779507E-02	2.166250E+01
6.87200000000E+01	-4.645767E-01	-3.710842E-02	2.166250E+01
6.87400000000E+01	-4.636459E-01	-3.650570E-02	2.166250E+01
6.87600000000E+01	-4.625702E-01	-3.589153E-02	2.166250E+01
6.87800000000E+01	-4.615707E-01	-3.533554E-02	2.166250E+01
6.88000000000E+01	-4.606247E-01	-3.466892E-02	2.160000E+01
6.88200000000E+01	-4.596100E-01	-3.415585E-02	2.160000E+01
6.88400000000E+01	-4.586029E-01	-3.347015E-02	2.160000E+01
6.88600000000E+01	-4.575806E-01	-3.293896E-02	2.160000E+01
6.88800000000E+01	-4.566574E-01	-3.243160E-02	2.160000E+01
6.89000000000E+01	-4.556351E-01	-3.178883E-02	2.160000E+01
6.89200000000E+01	-4.545898E-01	-3.128338E-02	2.160000E+01
6.89400000000E+01	-4.536667E-01	-3.060722E-02	2.160000E+01
6.89600000000E+01	-4.526062E-01	-3.009176E-02	2.160000E+01
6.89800000000E+01	-4.516296E-01	-2.950001E-02	2.160000E+01
6.90000000000E+01	-4.504776E-01	-2.899933E-02	2.160000E+01
6.90200000000E+01	-4.496307E-01	-2.845049E-02	2.160000E+01
6.90400000000E+01	-4.485474E-01	-2.788687E-02	2.160000E+01
6.90600000000E+01	-4.475937E-01	-2.728081E-02	2.160000E+01
6.90800000000E+01	-4.466476E-01	-2.665424E-02	2.160000E+01
6.91000000000E+01	-4.456482E-01	-2.618217E-02	2.160000E+01
6.91200000000E+01	-4.447250E-01	-2.571297E-02	2.160000E+01
6.91400000000E+01	-4.436798E-01	-2.520418E-02	2.160000E+01
6.91600000000E+01	-4.426575E-01	-2.463484E-02	2.160000E+01
6.91800000000E+01	-4.417191E-01	-2.413750E-02	2.160000E+01
6.92000000000E+01	-4.406967E-01	-2.360964E-02	2.160000E+01
6.92200000000E+01	-4.396973E-01	-2.311611E-02	2.160000E+01
6.92400000000E+01	-4.387131E-01	-2.263689E-02	2.160000E+01
6.92600000000E+01	-4.376984E-01	-2.206278E-02	2.160000E+01
6.92800000000E+01	-4.366302E-01	-2.155495E-02	2.160000E+01
6.93000000000E+01	-4.356308E-01	-2.107048E-02	2.160000E+01
6.93200000000E+01	-4.346466E-01	-2.069092E-02	2.160000E+01
6.93400000000E+01	-4.336395E-01	-2.014542E-02	2.160000E+01
6.93600000000E+01	-4.326630E-01	-1.967621E-02	2.160000E+01
6.93800000000E+01	-4.316101E-01	-1.929283E-02	2.160000E+01
6.94000000000E+01	-4.305954E-01	-1.889944E-02	2.160000E+01
6.94200000000E+01	-4.296188E-01	-1.842976E-02	2.160000E+01
6.94400000000E+01	-4.285965E-01	-1.798058E-02	2.160000E+01
6.94600000000E+01	-4.275894E-01	-1.758718E-02	2.160000E+01
6.94800000000E+01	-4.266434E-01	-1.719236E-02	2.160000E+01
6.95000000000E+01	-4.256744E-01	-1.678324E-02	2.160000E+01
6.95200000000E+01	-4.245987E-01	-1.632023E-02	2.160000E+01
6.95400000000E+01	-4.236069E-01	-1.598787E-02	2.160000E+01
6.95600000000E+01	-4.226685E-01	-1.556015E-02	2.160000E+01
6.95800000000E+01	-4.216003E-01	-1.517653E-02	2.160000E+01
6.96000000000E+01	-4.206314E-01	-1.472497E-02	2.160000E+01
6.96200000000E+01	-4.196320E-01	-1.437306E-02	2.160000E+01
6.96400000000E+01	-4.186020E-01	-1.400471E-02	2.160000E+01
6.96600000000E+01	-4.175949E-01	-1.363015E-02	2.160000E+01
6.96800000000E+01	-4.165802E-01	-1.334691E-02	2.160000E+01
6.97000000000E+01	-4.156494E-01	-1.289654E-02	2.160000E+01
6.97200000000E+01	-4.145737E-01	-1.257634E-02	2.160000E+01
6.97400000000E+01	-4.136124E-01	-1.221681E-02	2.160000E+01
6.97600000000E+01	-4.125290E-01	-1.195741E-02	2.160000E+01
6.97800000000E+01	-4.116135E-01	-1.155114E-02	2.160000E+01
6.98000000000E+01	-4.105682E-01	-1.128697E-02	2.153750E+01
6.98200000000E+01	-4.095764E-01	-1.098061E-02	2.153750E+01
6.98400000000E+01	-4.086151E-01	-1.069450E-02	2.153750E+01
6.98600000000E+01	-4.075851E-01	-1.034546E-02	2.153750E+01
6.98800000000E+01	-4.066544E-01	-1.004553E-02	2.153750E+01
6.99000000000E+01	-4.057007E-01	-9.800196E-03	2.153750E+01
6.99200000000E+01	-4.047089E-01	-9.367228E-03	2.153750E+01
6.99400000000E+01	-4.036789E-01	-9.095430E-03	2.153750E+01
6.99600000000E+01	-4.026794E-01	-8.808136E-03	2.153750E+01
6.99800000000E+01	-4.016342E-01	-8.551359E-03	2.153750E+01
