T(Seconds)	E(V)	I(A/cm2)	Temp(C)
2.50500000000E+03	-1.931482E+00	-9.998657E-01	2.266250E+01
2.50600000000E+03	-1.918512E+00	-1.000952E+00	2.260000E+01
2.50700000000E+03	-1.936835E+00	-1.001062E+00	2.278750E+01
2.50800000000E+03	-1.951306E+00	-1.001044E+00	2.260000E+01
2.50900000000E+03	-1.990271E+00	-1.001135E+00	2.260000E+01
2.51000000000E+03	-1.982727E+00	-1.000854E+00	2.260000E+01
2.51100000000E+03	-1.994281E+00	-1.000842E+00	2.266250E+01
2.51200000000E+03	-1.990063E+00	-1.001062E+00	2.253750E+01
2.51300000000E+03	-1.981928E+00	-1.000928E+00	2.272500E+01
2.51400000000E+03	-2.034790E+00	-1.000989E+00	2.266250E+01
2.51500000000E+03	-2.026514E+00	-1.000977E+00	2.260000E+01
2.51600000000E+03	-2.008252E+00	-1.000909E+00	2.272500E+01
2.51700000000E+03	-2.019751E+00	-1.000897E+00	2.260000E+01
2.51800000000E+03	-2.016504E+00	-1.000946E+00	2.272500E+01
2.51900000000E+03	-1.992285E+00	-1.000922E+00	2.247500E+01
2.52000000000E+03	-2.031116E+00	-1.000836E+00	2.278750E+01
2.52100000000E+03	-2.026794E+00	-1.000958E+00	2.272500E+01
2.52200000000E+03	-2.017517E+00	-1.000897E+00	2.272500E+01
2.52300000000E+03	-2.024329E+00	-1.001086E+00	2.260000E+01
2.52400000000E+03	-2.001001E+00	-1.001050E+00	2.266250E+01
2.52500000000E+03	-2.001813E+00	-1.000854E+00	2.266250E+01
2.52600000000E+03	-1.989795E+00	-1.000891E+00	2.266250E+01
2.52700000000E+03	-2.026080E+00	-1.000964E+00	2.272500E+01
2.52800000000E+03	-2.012732E+00	-1.001032E+00	2.266250E+01
2.52900000000E+03	-2.001489E+00	-1.000830E+00	2.278750E+01
2.53000000000E+03	-1.985791E+00	-1.001111E+00	2.266250E+01
2.53100000000E+03	-2.026575E+00	-1.000940E+00	2.266250E+01
2.53200000000E+03	-2.017651E+00	-1.000861E+00	2.272500E+01
2.53300000000E+03	-1.998407E+00	-1.000903E+00	2.285000E+01
2.53400000000E+03	-1.985864E+00	-1.000989E+00	2.291250E+01
2.53500000000E+03	-1.965161E+00	-1.000983E+00	2.272500E+01
2.53600000000E+03	-1.956781E+00	-1.000879E+00	2.278750E+01
2.53700000000E+03	-2.022986E+00	-1.000922E+00	2.278750E+01
2.53800000000E+03	-2.010761E+00	-1.001086E+00	2.278750E+01
2.53900000000E+03	-2.048486E+00	-1.001007E+00	2.291250E+01
2.54000000000E+03	-2.022705E+00	-1.000867E+00	2.285000E+01
2.54100000000E+03	-2.022900E+00	-1.001007E+00	2.278750E+01
2.54200000000E+03	-2.046521E+00	-1.000928E+00	2.285000E+01
2.54300000000E+03	-2.028735E+00	-1.000989E+00	2.285000E+01
2.54400000000E+03	-2.012921E+00	-1.000916E+00	2.285000E+01
2.54500000000E+03	-2.000098E+00	-1.000903E+00	2.285000E+01
