T(Seconds)	E(V)	I(A/cm2)	Temp(C)
1.80100000000E+03	-2.908240E+00	-2.999060E+00	3.103750E+01
1.80200000000E+03	-3.016394E+00	-3.001782E+00	3.103750E+01
1.80300000000E+03	-2.993359E+00	-2.998523E+00	3.103750E+01
1.80400000000E+03	-3.051135E+00	-2.931726E+00	3.097500E+01
1.80500000000E+03	-2.994592E+00	-2.909290E+00	3.103750E+01
1.80600000000E+03	-2.963635E+00	-3.034631E+00	3.097500E+01
1.80700000000E+03	-2.941064E+00	-3.130945E+00	3.110000E+01
1.80800000000E+03	-3.036511E+00	-3.000964E+00	3.103750E+01
1.80900000000E+03	-2.957422E+00	-3.001428E+00	3.103750E+01
1.81000000000E+03	-2.870325E+00	-3.001074E+00	3.103750E+01
1.81100000000E+03	-2.904053E+00	-3.000989E+00	3.097500E+01
1.81200000000E+03	-2.856958E+00	-3.000854E+00	3.110000E+01
1.81300000000E+03	-2.959167E+00	-3.000830E+00	3.122500E+01
1.81400000000E+03	-2.967065E+00	-3.001160E+00	3.110000E+01
1.81500000000E+03	-2.985657E+00	-3.001038E+00	3.103750E+01
1.81600000000E+03	-2.957227E+00	-3.001038E+00	3.110000E+01
1.81700000000E+03	-3.009338E+00	-2.997656E+00	3.116250E+01
1.81800000000E+03	-3.001880E+00	-3.004431E+00	3.116250E+01
1.81900000000E+03	-2.967615E+00	-3.001038E+00	3.116250E+01
1.82000000000E+03	-2.963660E+00	-2.984326E+00	3.116250E+01
1.82100000000E+03	-2.978345E+00	-3.013123E+00	3.122500E+01
1.82200000000E+03	-2.952844E+00	-3.005554E+00	3.128750E+01
1.82300000000E+03	-2.922253E+00	-3.000781E+00	3.116250E+01
1.82400000000E+03	-2.928198E+00	-2.997632E+00	3.116250E+01
1.82500000000E+03	-3.032532E+00	-3.004639E+00	3.122500E+01
1.82600000000E+03	-2.968298E+00	-3.000903E+00	3.116250E+01
1.82700000000E+03	-3.049487E+00	-3.001025E+00	3.116250E+01
1.82800000000E+03	-2.993982E+00	-3.001074E+00	3.122500E+01
1.82900000000E+03	-2.973218E+00	-3.000964E+00	3.122500E+01
1.83000000000E+03	-3.025366E+00	-2.981189E+00	3.128750E+01
1.83100000000E+03	-2.930359E+00	-3.020874E+00	3.135000E+01
1.83200000000E+03	-2.957935E+00	-3.000903E+00	3.135000E+01
1.83300000000E+03	-3.015893E+00	-3.000854E+00	3.128750E+01
1.83400000000E+03	-3.028821E+00	-2.907593E+00	3.122500E+01
1.83500000000E+03	-2.976306E+00	-2.955017E+00	3.128750E+01
1.83600000000E+03	-3.044019E+00	-2.936401E+00	3.128750E+01
1.83700000000E+03	-3.013587E+00	-3.054199E+00	3.135000E+01
1.83800000000E+03	-2.991406E+00	-3.146008E+00	3.141250E+01
1.83900000000E+03	-2.895728E+00	-3.007275E+00	3.122500E+01
1.84000000000E+03	-2.945960E+00	-3.001050E+00	3.147500E+01
1.84100000000E+03	-2.922009E+00	-3.000989E+00	3.153750E+01
1.84200000000E+03	-2.877063E+00	-3.000903E+00	3.141250E+01
1.84300000000E+03	-2.939966E+00	-3.001209E+00	3.141250E+01
1.84400000000E+03	-2.955334E+00	-3.000781E+00	3.160000E+01
1.84500000000E+03	-2.982251E+00	-3.000830E+00	3.153750E+01
1.84600000000E+03	-2.951843E+00	-3.001160E+00	3.153750E+01
1.84700000000E+03	-2.957813E+00	-3.001050E+00	3.153750E+01
1.84800000000E+03	-2.999780E+00	-3.001184E+00	3.147500E+01
1.84900000000E+03	-2.961108E+00	-3.000720E+00	3.147500E+01
1.85000000000E+03	-2.915027E+00	-3.001318E+00	3.160000E+01
1.85100000000E+03	-2.919507E+00	-3.001001E+00	3.160000E+01
1.85200000000E+03	-2.878784E+00	-3.000024E+00	3.153750E+01
1.85300000000E+03	-2.743005E+00	-3.002222E+00	3.166250E+01
1.85400000000E+03	-2.807764E+00	-3.001013E+00	3.166250E+01
1.85500000000E+03	-2.968054E+00	-3.000464E+00	3.147500E+01
1.85600000000E+03	-2.963184E+00	-3.000977E+00	3.153750E+01
1.85700000000E+03	-2.975842E+00	-3.001306E+00	3.178750E+01
1.85800000000E+03	-2.884009E+00	-3.001160E+00	3.153750E+01
1.85900000000E+03	-2.887537E+00	-3.000647E+00	3.172500E+01
1.86000000000E+03	-2.956506E+00	-3.001123E+00	3.153750E+01
1.86100000000E+03	-2.969727E+00	-2.981543E+00	3.166250E+01
1.86200000000E+03	-3.011145E+00	-2.980689E+00	3.166250E+01
1.86300000000E+03	-2.884485E+00	-3.041431E+00	3.166250E+01
1.86400000000E+03	-2.823572E+00	-3.000818E+00	3.166250E+01
1.86500000000E+03	-2.870007E+00	-3.000879E+00	3.166250E+01
1.86600000000E+03	-2.942786E+00	-3.001013E+00	3.166250E+01
1.86700000000E+03	-2.993176E+00	-3.000964E+00	3.178750E+01
1.86800000000E+03	-2.947070E+00	-3.000818E+00	3.172500E+01
1.86900000000E+03	-2.901685E+00	-3.000806E+00	3.172500E+01
1.87000000000E+03	-3.014856E+00	-2.986706E+00	3.178750E+01
1.87100000000E+03	-2.952173E+00	-3.015723E+00	3.185000E+01
1.87200000000E+03	-2.916541E+00	-3.000842E+00	3.166250E+01
1.87300000000E+03	-2.868335E+00	-3.001025E+00	3.178750E+01
1.87400000000E+03	-2.930151E+00	-3.001001E+00	3.178750E+01
1.87500000000E+03	-2.944690E+00	-3.000903E+00	3.185000E+01
1.87600000000E+03	-2.902612E+00	-3.001074E+00	3.197500E+01
1.87700000000E+03	-3.020654E+00	-3.000891E+00	3.185000E+01
1.87800000000E+03	-3.028613E+00	-2.991907E+00	3.185000E+01
1.87900000000E+03	-2.943652E+00	-3.010059E+00	3.191250E+01
1.88000000000E+03	-3.058984E+00	-2.994958E+00	3.185000E+01
1.88100000000E+03	-3.008996E+00	-3.007202E+00	3.185000E+01
1.88200000000E+03	-2.945483E+00	-2.998291E+00	3.178750E+01
1.88300000000E+03	-2.987488E+00	-2.956043E+00	3.178750E+01
1.88400000000E+03	-2.981250E+00	-3.047998E+00	3.197500E+01
1.88500000000E+03	-2.930884E+00	-3.001868E+00	3.185000E+01
1.88600000000E+03	-2.965125E+00	-2.992041E+00	3.172500E+01
1.88700000000E+03	-2.923279E+00	-3.010254E+00	3.197500E+01
1.88800000000E+03	-2.901807E+00	-3.000732E+00	3.178750E+01
1.88900000000E+03	-2.889319E+00	-3.001074E+00	3.197500E+01
1.89000000000E+03	-2.847400E+00	-3.000903E+00	3.185000E+01
1.89100000000E+03	-2.881335E+00	-3.000818E+00	3.191250E+01
1.89200000000E+03	-2.922241E+00	-2.996216E+00	3.191250E+01
1.89300000000E+03	-2.879285E+00	-2.993347E+00	3.191250E+01
1.89400000000E+03	-3.003296E+00	-3.012842E+00	3.185000E+01
1.89500000000E+03	-3.018347E+00	-3.001929E+00	3.185000E+01
1.89600000000E+03	-3.029809E+00	-3.001392E+00	3.185000E+01
1.89700000000E+03	-2.892212E+00	-3.000806E+00	3.210000E+01
1.89800000000E+03	-2.992932E+00	-3.000989E+00	3.178750E+01
1.89900000000E+03	-2.938757E+00	-3.001038E+00	3.191250E+01
1.90000000000E+03	-2.886047E+00	-3.000696E+00	3.172500E+01
1.90100000000E+03	-2.952100E+00	-3.000977E+00	3.185000E+01
1.90200000000E+03	-2.987244E+00	-3.000977E+00	3.197500E+01
1.90300000000E+03	-2.970788E+00	-2.994690E+00	3.203750E+01
1.90400000000E+03	-2.813123E+00	-3.007678E+00	3.197500E+01
1.90500000000E+03	-2.922607E+00	-3.000940E+00	3.185000E+01
