T(Seconds)	E(V)	I(A/cm2)	Temp(C)
6.20000000000E+01	-1.563214E+00	-4.978958E-01	2.197500E+01
6.30000000000E+01	-1.586963E+00	-5.001099E-01	2.210000E+01
6.40000000000E+01	-1.609131E+00	-5.002030E-01	2.191250E+01
6.50000000000E+01	-1.650208E+00	-5.002381E-01	2.191250E+01
6.60000000000E+01	-1.720795E+00	-5.001450E-01	2.197500E+01
6.70000000000E+01	-1.843189E+00	-5.001129E-01	2.197500E+01
6.80000000000E+01	-1.974744E+00	-5.001327E-01	2.197500E+01
6.90000000000E+01	-2.049963E+00	-5.001831E-01	2.185000E+01
7.00000000000E+01	-2.088391E+00	-5.001099E-01	2.203750E+01
7.10000000000E+01	-2.110657E+00	-5.001739E-01	2.203750E+01
7.20000000000E+01	-2.123328E+00	-5.002044E-01	2.191250E+01
7.30000000000E+01	-2.132007E+00	-5.002289E-01	2.185000E+01
7.40000000000E+01	-2.136511E+00	-5.001923E-01	2.197500E+01
7.50000000000E+01	-2.141113E+00	-5.002014E-01	2.197500E+01
7.60000000000E+01	-2.143897E+00	-5.001068E-01	2.203750E+01
7.70000000000E+01	-2.145874E+00	-5.001587E-01	2.222500E+01
7.80000000000E+01	-2.148523E+00	-5.000855E-01	2.197500E+01
7.90000000000E+01	-2.149988E+00	-5.002075E-01	2.197500E+01
8.00000000000E+01	-2.152319E+00	-5.001785E-01	2.197500E+01
8.10000000000E+01	-2.155420E+00	-5.002106E-01	2.203750E+01
8.20000000000E+01	-2.156384E+00	-5.002838E-01	2.203750E+01
8.30000000000E+01	-2.157874E+00	-5.000870E-01	2.197500E+01
8.40000000000E+01	-2.154541E+00	-5.002686E-01	2.203750E+01
8.50000000000E+01	-2.153772E+00	-5.001007E-01	2.203750E+01
8.60000000000E+01	-2.150256E+00	-5.001739E-01	2.203750E+01
8.70000000000E+01	-2.148376E+00	-5.001587E-01	2.191250E+01
8.80000000000E+01	-2.146826E+00	-5.002106E-01	2.216250E+01
8.90000000000E+01	-2.149731E+00	-5.002381E-01	2.203750E+01
9.00000000000E+01	-2.149207E+00	-5.002594E-01	2.185000E+01
9.10000000000E+01	-2.125549E+00	-5.002686E-01	2.185000E+01
9.20000000000E+01	-2.126355E+00	-5.001572E-01	2.210000E+01
9.30000000000E+01	-2.128552E+00	-5.002381E-01	2.203750E+01
9.40000000000E+01	-2.130298E+00	-5.001495E-01	2.210000E+01
9.50000000000E+01	-2.132837E+00	-5.001510E-01	2.216250E+01
9.60000000000E+01	-2.132422E+00	-5.002807E-01	2.228750E+01
9.70000000000E+01	-2.126843E+00	-5.002014E-01	2.203750E+01
9.80000000000E+01	-2.128516E+00	-5.001221E-01	2.210000E+01
9.90000000000E+01	-2.127698E+00	-5.002197E-01	2.203750E+01
1.00000000000E+02	-2.126001E+00	-5.002106E-01	2.203750E+01
1.01000000000E+02	-2.127368E+00	-5.002152E-01	2.203750E+01
1.02000000000E+02	-2.119202E+00	-5.002899E-01	2.210000E+01
1.03000000000E+02	-2.112830E+00	-5.003113E-01	2.210000E+01
1.04000000000E+02	-2.115112E+00	-5.002716E-01	2.203750E+01
1.05000000000E+02	-2.110193E+00	-5.001801E-01	2.197500E+01
1.06000000000E+02	-2.111377E+00	-5.003570E-01	2.203750E+01
1.07000000000E+02	-2.108533E+00	-5.001480E-01	2.216250E+01
1.08000000000E+02	-2.110571E+00	-5.002564E-01	2.210000E+01
1.09000000000E+02	-2.108667E+00	-5.001465E-01	2.210000E+01
1.10000000000E+02	-2.107483E+00	-5.001831E-01	2.210000E+01
1.11000000000E+02	-2.106824E+00	-5.001892E-01	2.203750E+01
1.12000000000E+02	-2.104175E+00	-5.002014E-01	2.222500E+01
1.13000000000E+02	-2.104895E+00	-5.001099E-01	2.203750E+01
1.14000000000E+02	-2.104968E+00	-5.002167E-01	2.216250E+01
1.15000000000E+02	-2.104443E+00	-5.001450E-01	2.203750E+01
1.16000000000E+02	-2.103198E+00	-5.001709E-01	2.197500E+01
1.17000000000E+02	-2.101880E+00	-5.001770E-01	2.216250E+01
1.18000000000E+02	-2.102124E+00	-5.001633E-01	2.222500E+01
1.19000000000E+02	-2.102429E+00	-5.002136E-01	2.216250E+01
1.20000000000E+02	-2.093408E+00	-5.002823E-01	2.210000E+01
1.21000000000E+02	-2.087915E+00	-5.002502E-01	2.210000E+01
1.22000000000E+02	-2.088037E+00	-5.001618E-01	2.216250E+01
1.23000000000E+02	-2.101062E+00	-5.002899E-01	2.216250E+01
1.24000000000E+02	-2.109436E+00	-5.001556E-01	2.216250E+01
1.25000000000E+02	-2.110828E+00	-5.002686E-01	2.216250E+01
1.26000000000E+02	-2.106714E+00	-5.002075E-01	2.228750E+01
1.27000000000E+02	-2.106848E+00	-5.002289E-01	2.210000E+01
1.28000000000E+02	-2.105969E+00	-5.001770E-01	2.216250E+01
1.29000000000E+02	-2.104810E+00	-5.002075E-01	2.203750E+01
1.30000000000E+02	-2.103540E+00	-5.002594E-01	2.197500E+01
1.31000000000E+02	-2.102734E+00	-5.001465E-01	2.228750E+01
1.32000000000E+02	-2.104614E+00	-5.002319E-01	2.197500E+01
1.33000000000E+02	-2.107300E+00	-5.002350E-01	2.216250E+01
1.34000000000E+02	-2.106848E+00	-5.002136E-01	2.197500E+01
1.35000000000E+02	-2.107227E+00	-5.000992E-01	2.210000E+01
1.36000000000E+02	-2.104285E+00	-5.002441E-01	2.203750E+01
1.37000000000E+02	-2.100940E+00	-5.001801E-01	2.210000E+01
1.38000000000E+02	-2.104468E+00	-5.001984E-01	2.216250E+01
1.39000000000E+02	-2.104175E+00	-5.001770E-01	2.203750E+01
1.40000000000E+02	-2.101978E+00	-5.002502E-01	2.210000E+01
1.41000000000E+02	-2.088989E+00	-5.002624E-01	2.228750E+01
1.42000000000E+02	-2.086316E+00	-5.002441E-01	2.210000E+01
1.43000000000E+02	-2.085327E+00	-5.002075E-01	2.228750E+01
1.44000000000E+02	-2.079199E+00	-5.003113E-01	2.203750E+01
1.45000000000E+02	-2.071252E+00	-5.003449E-01	2.197500E+01
1.46000000000E+02	-2.064282E+00	-5.002228E-01	2.228750E+01
1.47000000000E+02	-2.065051E+00	-5.001923E-01	2.216250E+01
1.48000000000E+02	-2.065137E+00	-5.001770E-01	2.216250E+01
1.49000000000E+02	-2.066907E+00	-5.002258E-01	2.210000E+01
1.50000000000E+02	-2.068396E+00	-5.002350E-01	2.228750E+01
1.51000000000E+02	-2.104126E+00	-5.002807E-01	2.197500E+01
1.52000000000E+02	-2.110950E+00	-5.002472E-01	2.210000E+01
1.53000000000E+02	-2.112061E+00	-5.001831E-01	2.203750E+01
1.54000000000E+02	-2.111438E+00	-5.001709E-01	2.210000E+01
1.55000000000E+02	-2.108948E+00	-5.003815E-01	2.216250E+01
1.56000000000E+02	-2.099341E+00	-5.002258E-01	2.216250E+01
1.57000000000E+02	-2.103162E+00	-5.002624E-01	2.203750E+01
1.58000000000E+02	-2.087927E+00	-5.002060E-01	2.210000E+01
1.59000000000E+02	-2.088745E+00	-5.001861E-01	2.216250E+01
1.60000000000E+02	-2.090869E+00	-5.001831E-01	2.210000E+01
1.61000000000E+02	-2.092773E+00	-5.002106E-01	2.216250E+01
1.62000000000E+02	-2.088953E+00	-5.002686E-01	2.216250E+01
