T(Seconds)	E(V)	I(A/cm2)	Temp(C)
1.00000000000E+00	-2.107666E+00	-2.493994E+00	2.285000E+01
2.00000000000E+00	-2.272229E+00	-2.499536E+00	2.291250E+01
3.00000000000E+00	-2.327271E+00	-2.499585E+00	2.285000E+01
4.00000000000E+00	-2.364075E+00	-2.499671E+00	2.285000E+01
5.00000000000E+00	-2.441650E+00	-2.500098E+00	2.278750E+01
6.00000000000E+00	-2.433533E+00	-2.499548E+00	2.291250E+01
7.00000000000E+00	-2.462085E+00	-2.500232E+00	2.278750E+01
8.00000000000E+00	-2.518811E+00	-2.499524E+00	2.285000E+01
9.00000000000E+00	-2.571533E+00	-2.499671E+00	2.278750E+01
1.00000000000E+01	-2.494421E+00	-2.499719E+00	2.285000E+01
1.10000000000E+01	-2.509570E+00	-2.500256E+00	2.285000E+01
1.20000000000E+01	-2.517029E+00	-2.500183E+00	2.291250E+01
1.30000000000E+01	-2.483972E+00	-2.499377E+00	2.278750E+01
1.40000000000E+01	-2.604712E+00	-2.500195E+00	2.291250E+01
1.50000000000E+01	-2.598608E+00	-2.499719E+00	2.291250E+01
1.60000000000E+01	-2.561047E+00	-2.499451E+00	2.291250E+01
1.70000000000E+01	-2.554724E+00	-2.499976E+00	2.291250E+01
1.80000000000E+01	-2.582165E+00	-2.500439E+00	2.291250E+01
1.90000000000E+01	-2.581494E+00	-2.499744E+00	2.291250E+01
2.00000000000E+01	-2.581384E+00	-2.500000E+00	2.291250E+01
2.10000000000E+01	-2.579260E+00	-2.499890E+00	2.291250E+01
2.20000000000E+01	-2.573706E+00	-2.499817E+00	2.285000E+01
2.30000000000E+01	-2.553052E+00	-2.500146E+00	2.297500E+01
2.40000000000E+01	-2.624133E+00	-2.499573E+00	2.303750E+01
2.50000000000E+01	-2.660229E+00	-2.500012E+00	2.303750E+01
2.60000000000E+01	-2.657300E+00	-2.499902E+00	2.297500E+01
2.70000000000E+01	-2.658020E+00	-2.499890E+00	2.291250E+01
2.80000000000E+01	-2.674915E+00	-2.500134E+00	2.297500E+01
2.90000000000E+01	-2.648071E+00	-2.499829E+00	2.291250E+01
3.00000000000E+01	-2.649182E+00	-2.499487E+00	2.297500E+01
3.10000000000E+01	-2.671753E+00	-2.500244E+00	2.303750E+01
3.20000000000E+01	-2.664319E+00	-2.500012E+00	2.297500E+01
3.30000000000E+01	-2.688367E+00	-2.499609E+00	2.303750E+01
3.40000000000E+01	-2.702478E+00	-2.499658E+00	2.303750E+01
3.50000000000E+01	-2.708838E+00	-2.500134E+00	2.303750E+01
3.60000000000E+01	-2.795618E+00	-2.499707E+00	2.316250E+01
3.70000000000E+01	-2.809546E+00	-2.499939E+00	2.310000E+01
3.80000000000E+01	-2.754749E+00	-2.500000E+00	2.316250E+01
3.90000000000E+01	-2.829932E+00	-2.499658E+00	2.316250E+01
4.00000000000E+01	-2.864880E+00	-2.499939E+00	2.322500E+01
4.10000000000E+01	-2.834509E+00	-2.500207E+00	2.335000E+01
4.20000000000E+01	-2.858814E+00	-2.499683E+00	2.322500E+01
4.30000000000E+01	-2.877869E+00	-2.499744E+00	2.322500E+01
4.40000000000E+01	-2.862195E+00	-2.499634E+00	2.316250E+01
4.50000000000E+01	-2.823035E+00	-2.499609E+00	2.322500E+01
4.60000000000E+01	-2.856299E+00	-2.500268E+00	2.322500E+01
4.70000000000E+01	-2.883911E+00	-2.499793E+00	2.335000E+01
4.80000000000E+01	-2.899121E+00	-2.499866E+00	2.322500E+01
4.90000000000E+01	-2.885413E+00	-2.498559E+00	2.328750E+01
5.00000000000E+01	-2.855798E+00	-2.501001E+00	2.328750E+01
5.10000000000E+01	-2.878052E+00	-2.499854E+00	2.328750E+01
5.20000000000E+01	-2.872388E+00	-2.499963E+00	2.341250E+01
5.30000000000E+01	-2.839160E+00	-2.499500E+00	2.341250E+01
5.40000000000E+01	-2.922082E+00	-2.500293E+00	2.341250E+01
5.50000000000E+01	-2.894592E+00	-2.499671E+00	2.341250E+01
5.60000000000E+01	-2.884827E+00	-2.499780E+00	2.347500E+01
5.70000000000E+01	-2.865247E+00	-2.499573E+00	2.347500E+01
5.80000000000E+01	-2.889807E+00	-2.499780E+00	2.341250E+01
5.90000000000E+01	-2.899219E+00	-2.496082E+00	2.347500E+01
6.00000000000E+01	-2.960010E+00	-2.503808E+00	2.353750E+01
6.10000000000E+01	-2.853552E+00	-2.499756E+00	2.353750E+01
6.20000000000E+01	-2.893213E+00	-2.500049E+00	2.360000E+01
6.30000000000E+01	-2.887183E+00	-2.499622E+00	2.360000E+01
6.40000000000E+01	-2.891028E+00	-2.500024E+00	2.353750E+01
6.50000000000E+01	-2.902612E+00	-2.499988E+00	2.366250E+01
6.60000000000E+01	-2.845276E+00	-2.499475E+00	2.360000E+01
6.70000000000E+01	-2.880371E+00	-2.500171E+00	2.378750E+01
6.80000000000E+01	-2.846289E+00	-2.499902E+00	2.366250E+01
6.90000000000E+01	-2.860474E+00	-2.499756E+00	2.372500E+01
7.00000000000E+01	-2.907520E+00	-2.499744E+00	2.366250E+01
7.10000000000E+01	-2.922498E+00	-2.499817E+00	2.360000E+01
7.20000000000E+01	-2.907629E+00	-2.500171E+00	2.366250E+01
7.30000000000E+01	-2.907092E+00	-2.499719E+00	2.366250E+01
7.40000000000E+01	-2.880212E+00	-2.500049E+00	2.385000E+01
7.50000000000E+01	-2.919800E+00	-2.498084E+00	2.366250E+01
7.60000000000E+01	-2.890625E+00	-2.501672E+00	2.372500E+01
7.70000000000E+01	-2.830408E+00	-2.500146E+00	2.372500E+01
7.80000000000E+01	-2.884912E+00	-2.499719E+00	2.378750E+01
7.90000000000E+01	-2.879126E+00	-2.499939E+00	2.391250E+01
8.00000000000E+01	-2.882690E+00	-2.499866E+00	2.385000E+01
8.10000000000E+01	-2.925525E+00	-2.499683E+00	2.397500E+01
8.20000000000E+01	-2.889795E+00	-2.499793E+00	2.391250E+01
8.30000000000E+01	-2.916077E+00	-2.500476E+00	2.397500E+01
8.40000000000E+01	-2.883728E+00	-2.499451E+00	2.378750E+01
8.50000000000E+01	-2.861560E+00	-2.499927E+00	2.385000E+01
8.60000000000E+01	-2.866113E+00	-2.499561E+00	2.397500E+01
8.70000000000E+01	-2.874988E+00	-2.499878E+00	2.391250E+01
8.80000000000E+01	-2.896826E+00	-2.499817E+00	2.397500E+01
8.90000000000E+01	-2.926001E+00	-2.500146E+00	2.391250E+01
9.00000000000E+01	-2.871472E+00	-2.500110E+00	2.385000E+01
9.10000000000E+01	-2.880444E+00	-2.499475E+00	2.391250E+01
9.20000000000E+01	-2.793237E+00	-2.500329E+00	2.403750E+01
9.30000000000E+01	-2.734741E+00	-2.499487E+00	2.397500E+01
9.40000000000E+01	-2.751624E+00	-2.500171E+00	2.403750E+01
9.50000000000E+01	-2.794666E+00	-2.499744E+00	2.403750E+01
9.60000000000E+01	-2.800622E+00	-2.500183E+00	2.416250E+01
9.70000000000E+01	-2.744751E+00	-2.499756E+00	2.410000E+01
