Freq(Hz)	Ampl	Bias	Time(Sec)	Z'(a)	Z''(b)	GD	Error	Range
1.000000E+04	1.0000E-02	-9.9000E-03	2.119000E+00	1.6493E-01	-2.3878E-01	1.0528E-02	0000	020401
8.376800E+03	1.0000E-02	-9.9000E-03	3.178000E+00	1.7969E-01	-2.3388E-01	8.0934E-04	0000	020401
7.017000E+03	1.0000E-02	-9.9000E-03	4.239000E+00	1.9534E-01	-2.3330E-01	2.4137E-04	0000	020401
5.878000E+03	1.0000E-02	-9.9000E-03	5.306000E+00	2.1688E-01	-2.3338E-01	2.4638E-04	0000	020401
4.923900E+03	1.0000E-02	-9.9000E-03	6.370000E+00	2.3712E-01	-2.3737E-01	2.6743E-04	0000	020401
4.124600E+03	1.0000E-02	-9.9000E-03	7.429000E+00	2.5409E-01	-2.4320E-01	2.1968E-04	0000	020401
3.455100E+03	1.0000E-02	-9.9000E-03	8.494000E+00	2.7083E-01	-2.5152E-01	2.0778E-04	0000	020401
2.894300E+03	1.0000E-02	-9.9000E-03	9.555000E+00	2.8835E-01	-2.6179E-01	2.4051E-04	0000	020401
2.424500E+03	1.0000E-02	-9.9000E-03	1.059900E+01	3.0587E-01	-2.7565E-01	2.4442E-04	0000	020401
2.030900E+03	1.0000E-02	-9.9000E-03	1.165500E+01	3.2513E-01	-2.9333E-01	1.9114E-04	0000	020401
1.701300E+03	1.0000E-02	-9.9000E-03	1.272000E+01	3.4738E-01	-3.1519E-01	1.8659E-04	0000	020401
1.425100E+03	1.0000E-02	-9.9000E-03	1.377700E+01	3.6823E-01	-3.4470E-01	1.8729E-04	0000	020401
1.193800E+03	1.0000E-02	-9.9000E-03	1.484100E+01	3.9269E-01	-3.7760E-01	1.8674E-04	0000	020401
1.000000E+03	1.0000E-02	-9.9000E-03	1.590200E+01	4.1548E-01	-4.1112E-01	2.3977E-04	0000	020401
8.376800E+02	1.0000E-02	-9.9000E-03	1.696000E+01	4.4171E-01	-4.5532E-01	1.4878E-04	0000	020401
7.017000E+02	1.0000E-02	-9.9000E-03	1.802500E+01	4.7122E-01	-5.0184E-01	1.7893E-04	0000	020401
5.878000E+02	1.0000E-02	-9.9000E-03	1.909700E+01	5.0517E-01	-5.5873E-01	2.1385E-04	0000	020401
4.923900E+02	1.0000E-02	-9.9000E-03	2.015600E+01	5.4056E-01	-6.2521E-01	1.7729E-04	0000	020401
4.124600E+02	1.0000E-02	-9.9000E-03	2.121700E+01	5.8262E-01	-6.9910E-01	1.3536E-04	0000	020401
3.455100E+02	1.0000E-02	-9.9000E-03	2.227700E+01	6.2605E-01	-7.7393E-01	2.0618E-04	0000	020401
2.894300E+02	1.0000E-02	-9.9000E-03	2.334300E+01	6.6863E-01	-8.9048E-01	1.1945E-04	0000	020401
2.424500E+02	1.0000E-02	-9.9000E-03	2.440400E+01	7.2859E-01	-9.8778E-01	1.2845E-04	0000	020401
2.030900E+02	1.0000E-02	-9.9000E-03	2.546600E+01	7.9100E-01	-1.1131E+00	1.2262E-04	0000	020401
1.701300E+02	1.0000E-02	-9.9000E-03	2.653100E+01	8.8249E-01	-1.2383E+00	1.4630E-04	0000	020401
1.425100E+02	1.0000E-02	-9.9000E-03	2.758900E+01	9.5933E-01	-1.4225E+00	1.8581E-04	0000	020401
1.193800E+02	1.0000E-02	-9.9000E-03	2.865400E+01	1.0687E+00	-1.5964E+00	2.1345E-04	0000	020401
1.000000E+02	1.0000E-02	-9.9000E-03	2.971900E+01	1.1933E+00	-1.8071E+00	1.6094E-04	0000	020401
8.376800E+01	1.0000E-02	-9.9000E-03	3.078000E+01	1.3512E+00	-2.0196E+00	1.3718E-04	0000	020401
7.017000E+01	1.0000E-02	-9.9000E-03	3.183700E+01	1.4615E+00	-2.3276E+00	1.6181E-04	0000	020401
5.878000E+01	1.0000E-02	-9.9000E-03	3.289900E+01	1.5829E+00	-2.5343E+00	2.0454E-04	0000	020401
4.923900E+01	1.0000E-02	-9.9000E-03	3.396000E+01	1.7505E+00	-2.8673E+00	1.8124E-04	0000	020401
4.124600E+01	1.0000E-02	-9.9000E-03	3.505900E+01	2.1443E+00	-3.1080E+00	1.9500E-04	0000	020401
3.455100E+01	1.0000E-02	-9.9000E-03	3.611900E+01	2.4795E+00	-3.5757E+00	2.2670E-04	0000	020401
2.894300E+01	1.0000E-02	-9.9000E-03	3.718400E+01	2.6038E+00	-3.9396E+00	1.9183E-04	0000	020401
2.424500E+01	1.0000E-02	-9.9000E-03	3.827600E+01	2.6468E+00	-4.3725E+00	2.6362E-04	0000	020401
2.030900E+01	1.0000E-02	-9.9000E-03	3.936800E+01	3.2073E+00	-4.8816E+00	2.0294E-04	0000	020401
1.701300E+01	1.0000E-02	-9.9000E-03	4.049300E+01	4.2928E+00	-5.6571E+00	1.4529E-04	0000	020401
1.425100E+01	1.0000E-02	-9.9000E-03	4.161500E+01	3.6573E+00	-5.9280E+00	1.8936E-04	0000	020401
1.193800E+01	1.0000E-02	-9.9000E-03	4.270300E+01	5.7226E+00	-7.1301E+00	1.7788E-04	0000	020401
1.000000E+01	1.0000E-02	-9.9000E-03	4.379100E+01	5.1814E+00	-7.5118E+00	1.9792E-04	0000	020401
8.376800E+00	1.0000E-02	-9.9000E-03	4.491100E+01	7.5448E+00	-7.7552E+00	1.6804E-04	0000	020401
7.017000E+00	1.0000E-02	-9.9000E-03	4.613400E+01	7.1122E+00	-8.1429E+00	1.6220E-04	0000	020401
5.878000E+00	1.0000E-02	-9.9000E-03	4.722200E+01	7.6644E+00	-1.0746E+01	1.4793E-04	0000	020401
4.923900E+00	1.0000E-02	-9.9000E-03	4.831800E+01	7.2615E+00	-1.3390E+01	1.4865E-04	0000	020401
4.124600E+00	1.0000E-02	-9.9000E-03	4.962100E+01	1.3456E+01	-1.2492E+01	1.5838E-04	0000	020401
3.455100E+00	1.0000E-02	-9.9000E-03	5.091900E+01	4.0568E+00	-1.1296E+01	1.9946E-04	0000	020401
2.894300E+00	1.0000E-02	-9.9000E-03	5.208400E+01	2.2116E+01	-3.6167E+01	1.8146E-04	0000	020401
2.424500E+00	1.0000E-02	-9.9000E-03	5.350200E+01	2.9030E+01	-2.8961E+01	2.3943E-04	0000	020401
2.030900E+00	1.0000E-02	-9.9000E-03	5.519000E+01	1.2314E+01	-2.7735E+01	1.6377E-04	0000	020401
1.701300E+00	1.0000E-02	-9.9000E-03	5.659100E+01	1.6663E+01	-1.8266E+01	1.7981E-04	0000	020401
1.425100E+00	1.0000E-02	-9.9000E-03	5.830500E+01	3.7246E+01	-1.6932E+01	2.4681E-04	0000	020401
1.193800E+00	1.0000E-02	-9.9000E-03	6.033100E+01	1.3605E+01	-1.6174E+01	2.3741E-04	0000	020401
1.000000E+00	1.0000E-02	-9.9000E-03	6.172800E+01	6.2044E+01	8.1880E-01	1.9543E-04	0000	020401
